"species","enc_id","sr","site","startrec","endrec","starttime","dur","n","SNR","noiselevel","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81"
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",10,4,208,55.77866842,0,0.008591424,0.008636134,0.008688435,0.008907431,0.009075021,0.009222174,0.009383673,0.00955399,0.009704006,0.009833946,0.009983372,0.010193495,0.010369833,0.01051409,0.010638507,0.010797148,0.010939594,0.011078722,0.011195828,0.011311233,0.011447646,0.011562353,0.011650996,0.011762797,0.011902471,0.011989183,0.012047148,0.012150825,0.012308992,0.012433554,0.012530582,0.012582603,0.01265078,0.012720439,0.012782053,0.012876373,0.012980665,0.013053663,0.013101002,0.013149036,0.013227469,0.01329187,0.013348126,0.01337672,0.013401212,0.01345289,0.013496027,0.013548372,0.013607914,0.013651652,0.013701515,0.01375823,0.013834626,0.013911178,0.013970411,0.013992875,0.013989083,0.014012078,0.014025865,0.014026119,0.014022924,0.013990858,0.013953116,0.013902266,0.013850842,0.013812071,0.013743614,0.013655995,0.013563247,0.013468999,0.013396403,0.013304998,0.013193962,0.013094804,0.012981857,0.012873511,0.012793707,0.012746076,0.012679004,0.012564988,0.012481308
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",11,4,197,57.82209211,0,0.008512745,0.00856891,0.008649492,0.008865691,0.009028302,0.009172282,0.009332088,0.009522141,0.009682386,0.009843693,0.010066367,0.010279772,0.010411831,0.010553927,0.010692143,0.010837669,0.011013146,0.011174601,0.011296788,0.011417187,0.011526121,0.011639005,0.011770324,0.01189522,0.012006687,0.012090867,0.012159624,0.012265469,0.012398442,0.012516181,0.012608817,0.012660573,0.012706686,0.012760587,0.012809694,0.012872685,0.012934165,0.01297865,0.013015527,0.013062035,0.013138703,0.013197395,0.01324235,0.013267418,0.013293419,0.013343806,0.013378318,0.013424275,0.013482591,0.013531332,0.013587346,0.013649124,0.013717981,0.013785278,0.013838205,0.013869382,0.013882893,0.013911058,0.013930494,0.01393696,0.013941421,0.013930942,0.01389902,0.013841134,0.01378766,0.013757744,0.013700017,0.013624569,0.013548404,0.013471695,0.013420074,0.013345097,0.013249159,0.013183354,0.013116243,0.013049282,0.012977148,0.012915861,0.01283867,0.012734808,0.01266085
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",12,4,165,48.42634804,0,0.007746743,0.007876634,0.007987136,0.008208873,0.008376364,0.008547062,0.008751897,0.00897213,0.009170759,0.009362435,0.009624895,0.009847544,0.009988357,0.010158939,0.010323658,0.010502128,0.010740791,0.010909564,0.011028077,0.011176845,0.011300188,0.011433963,0.011577481,0.011681859,0.011788938,0.011900157,0.011989601,0.012134517,0.012319785,0.012491231,0.012633319,0.012705564,0.012758623,0.012824832,0.012896166,0.012992783,0.013080716,0.013138115,0.013191693,0.013247696,0.013320755,0.013378928,0.013415327,0.013420843,0.013455817,0.013537516,0.013604723,0.013675194,0.013746976,0.013806334,0.013864856,0.013930634,0.014027235,0.0141176,0.014175908,0.014202905,0.014212615,0.014251382,0.014279688,0.014280925,0.014279942,0.014263509,0.014215843,0.014137634,0.01407718,0.014051113,0.013977209,0.013871956,0.013781858,0.013694519,0.013639367,0.013557377,0.013467964,0.013411641,0.013342964,0.013271824,0.013176632,0.013086941,0.012989622,0.012854223,0.012756461
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",13,4,141,51.52196025,0,0.007888391,0.008045842,0.008228469,0.0084508,0.008618882,0.008738637,0.008897232,0.009113306,0.009293524,0.009435424,0.009634807,0.009834501,0.009963993,0.010142884,0.010323555,0.010516015,0.010728849,0.010855874,0.010936808,0.011084711,0.011238525,0.01138341,0.01154142,0.011638558,0.011762778,0.01190568,0.012045103,0.012207826,0.012373986,0.012508748,0.012632847,0.012698761,0.012760362,0.01284186,0.012934715,0.013018482,0.01306453,0.013106771,0.013169152,0.013233806,0.013286407,0.013342673,0.013376773,0.013404217,0.013447959,0.013525572,0.013565948,0.013614371,0.013669983,0.013733119,0.013789273,0.01385187,0.013938898,0.014021982,0.014078911,0.014128752,0.014168221,0.014202157,0.014220212,0.01419202,0.014181822,0.014171081,0.014153944,0.014101957,0.014039596,0.014004152,0.01395157,0.013875051,0.013814365,0.013731638,0.013662541,0.013573857,0.013496131,0.013443655,0.013365824,0.013281917,0.013170798,0.013054887,0.012950206,0.01284763,0.012768238
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",14,4,109,48.94027471,0,0.007540109,0.007737191,0.007961441,0.008191018,0.008342497,0.008442146,0.008634204,0.008936085,0.009152044,0.009300314,0.009498593,0.009720843,0.009889787,0.010018221,0.010181201,0.01039255,0.010628653,0.010778938,0.010876795,0.011008921,0.011138066,0.011298277,0.011467726,0.011578707,0.011727865,0.011891198,0.012058072,0.012226338,0.01237945,0.012504482,0.01263029,0.012725648,0.012805036,0.012890501,0.012987246,0.013066696,0.013130163,0.013183801,0.013255332,0.013327997,0.013374169,0.013455391,0.013505845,0.013554745,0.013632547,0.013726032,0.013802352,0.013870493,0.013922736,0.01399666,0.014056132,0.014122245,0.014193341,0.014247839,0.014265517,0.014278395,0.01429915,0.014300113,0.014309357,0.014271954,0.014236883,0.014214778,0.014197237,0.014161096,0.014122524,0.014082549,0.014035923,0.013946442,0.013868363,0.013783575,0.013698005,0.013608197,0.013519009,0.013403371,0.013290769,0.013185264,0.01306019,0.012921129,0.01276946,0.012647773,0.012558009
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",15,4,100,43.25628332,0,0.00707163,0.007266861,0.007471778,0.007714526,0.00787168,0.007984784,0.00824634,0.008658636,0.008959388,0.00913351,0.009267574,0.009458397,0.009682461,0.009890392,0.010076408,0.010298964,0.010555189,0.010730714,0.010841829,0.010981338,0.01114702,0.01132033,0.011466381,0.011558579,0.011716579,0.01191351,0.012115435,0.012266389,0.012395911,0.012514061,0.0126513,0.012760515,0.012845135,0.012935137,0.013046171,0.013146279,0.013238713,0.013330787,0.013396686,0.013460994,0.013495942,0.013559888,0.013614975,0.013679966,0.013769447,0.013889186,0.013995024,0.014077579,0.014149376,0.014232082,0.014284702,0.014343843,0.014413906,0.01448253,0.014491318,0.014499231,0.014495938,0.014482198,0.014472646,0.014459824,0.014442086,0.014393678,0.014372301,0.014326999,0.01430451,0.014227415,0.014133511,0.014019095,0.013957559,0.013871015,0.013770722,0.013649351,0.013552493,0.01340354,0.013256228,0.013096412,0.012916273,0.012700742,0.012527189,0.012444298,0.012356667
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",16,4,105,45.67073645,0,0.007381324,0.007505307,0.007683085,0.007862685,0.008003498,0.008132101,0.008352064,0.00870833,0.008997205,0.009186148,0.009367186,0.009620084,0.009848106,0.010049522,0.010185815,0.010362984,0.010594628,0.010790467,0.010930198,0.011051124,0.011196929,0.011346062,0.011521506,0.011669327,0.011816063,0.011950718,0.012101483,0.01221027,0.012297397,0.012376938,0.012498855,0.012617825,0.012707652,0.012778738,0.012887022,0.012994308,0.013081237,0.013171986,0.01324918,0.013336649,0.013411364,0.013494622,0.013565997,0.013642497,0.013718241,0.013827575,0.013914495,0.013982854,0.014052823,0.014135424,0.014196762,0.014266195,0.014322059,0.014375297,0.014385984,0.014403735,0.014412736,0.014409628,0.014410551,0.014411873,0.014409181,0.014375095,0.014364273,0.014324421,0.014297857,0.014226703,0.014152727,0.014062264,0.013989389,0.01389202,0.013800854,0.013696706,0.013584108,0.013420975,0.013264955,0.013106349,0.012941197,0.012756809,0.012615411,0.012531749,0.012424237
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",17,4,105,42.8333378,0,0.007276253,0.00733242,0.007482302,0.007742264,0.007985492,0.008203602,0.008436804,0.008683675,0.008910919,0.009051909,0.009261261,0.009568271,0.009812475,0.009959083,0.010037528,0.010225421,0.010493539,0.010699763,0.010830515,0.010936627,0.011052782,0.011194039,0.011346711,0.0114762,0.011584345,0.011703179,0.011846571,0.011950272,0.011988693,0.012031789,0.012135617,0.012277586,0.012412406,0.012506304,0.012613207,0.012734473,0.012844677,0.01297046,0.013090853,0.013199704,0.013312564,0.013428198,0.013538651,0.013625123,0.013711779,0.013834081,0.013955514,0.014044814,0.014139847,0.014233247,0.014329442,0.014432239,0.014519643,0.014595542,0.014632864,0.01468499,0.014736027,0.014765704,0.014752423,0.014755757,0.014745083,0.014715458,0.01470676,0.01467478,0.014633999,0.014546353,0.014450762,0.014362201,0.014286968,0.014181141,0.014061443,0.013917587,0.01376435,0.013559959,0.013355397,0.013149425,0.012954537,0.012736073,0.012565225,0.012425625,0.012288439
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",18,4,112,46.6435914,0,0.00767397,0.007791116,0.007928236,0.008197016,0.008496457,0.008706229,0.008833861,0.008980461,0.009155602,0.009331215,0.009572015,0.009847164,0.010053711,0.010149377,0.010202309,0.010341561,0.010519985,0.01064689,0.01076539,0.010920818,0.011061519,0.011178177,0.011292356,0.011408874,0.011513638,0.011581711,0.011685802,0.011777335,0.011848241,0.011935179,0.012043026,0.012176448,0.01230241,0.012400543,0.01251939,0.012646491,0.012762319,0.012868013,0.012970368,0.013089945,0.013218491,0.013336238,0.013436593,0.013511358,0.013602539,0.013729535,0.013842559,0.013897855,0.0139708,0.014072415,0.014171291,0.014287601,0.01439143,0.0144878,0.014543692,0.014597039,0.014650247,0.014695496,0.014699201,0.014708266,0.014703601,0.014690669,0.014662433,0.014598806,0.014547632,0.014456765,0.01435317,0.014250635,0.014161615,0.014067093,0.013972096,0.013841125,0.013691552,0.013496227,0.013303201,0.013113386,0.012933679,0.012734234,0.012581606,0.012467036,0.012347828
"Dde",415,96000,"none","SI20120620_171333.wav","SI20120620_171333.wav",19,4,130,52.23233775,0,0.00848407,0.008719195,0.008843759,0.008938619,0.00903237,0.009205871,0.009324085,0.009366877,0.009483869,0.009643329,0.009848656,0.010065357,0.010172352,0.010248831,0.010374321,0.010550903,0.010710462,0.010803252,0.010911301,0.011028449,0.011149294,0.011258078,0.011369002,0.011501813,0.011615511,0.01171398,0.011825986,0.011916602,0.012007988,0.012097121,0.012201145,0.012310599,0.012386677,0.012463579,0.012563457,0.012670699,0.012761258,0.012828559,0.012917288,0.012998632,0.013094883,0.013202195,0.013285742,0.013369911,0.013455658,0.013553464,0.01362326,0.013660568,0.013745668,0.013846342,0.013944515,0.014043115,0.014126727,0.014220717,0.014284067,0.014332704,0.014381496,0.014415232,0.014437504,0.014419605,0.014380595,0.014344844,0.014309256,0.014270877,0.014209231,0.014135059,0.014062051,0.013961055,0.013863446,0.013761408,0.013658917,0.013556455,0.013427642,0.013297463,0.013143815,0.012986036,0.012854237,0.01271246,0.012577262,0.012434542,0.012296776
